group_label,sv_count,top_pairs,top_genes,bg_genes,go_background_mode,go_universe_gene_count,go_bp_terms,go_mf_terms,go_cc_terms,go_total
absence epilepsy,2,0,0,12894,default_universe,,0,0,0,0
acute infectious encephalopathy,3,10,10,12894,default_universe,,0,0,0,0
adrenal cortex cancer,12,29,26,12894,default_universe,,0,1,0,1
adrenocortical adenoma,2,8,8,12894,default_universe,,0,0,0,0
adrenocortical carcinoma hereditary,9,26,19,12894,default_universe,,0,0,0,0
adrenocortical carcinoma pediatric,2,8,4,12894,default_universe,,0,0,0,0
alzheimer disease,1,0,0,12894,default_universe,,0,0,0,0
amyotrophic lateral sclerosis,19,46,14,12894,default_universe,,0,0,0,0
aniridia cerebellar ataxia intellectual disability syndrome,4,2,2,12894,default_universe,,0,0,0,0
ataxia oculomotor apraxia,1,0,0,12894,default_universe,,0,0,0,0
ataxia telangiectasia,43,30,7,12894,default_universe,,0,0,0,0
ataxia telangiectasia like disorder type 1,2,9,9,12894,default_universe,,0,0,0,0
ataxia telangiectasia syndrome,2,9,9,12894,default_universe,,0,0,0,0
ataxia with oculomotor apraxia,1,0,0,12894,default_universe,,0,0,0,0
ataxia with vitamin e deficiency,1,0,0,12894,default_universe,,0,0,0,0
atp1a3 related neurological disorders,2,1,1,12894,default_universe,,0,0,0,0
autism spectrum disorder,32,26,19,12894,default_universe,,0,0,0,0
autonomic neuropathy,5,1,1,12894,default_universe,,0,0,0,0
autosomal dominant nonsyndromic hearing loss,1,0,0,12894,default_universe,,0,0,0,0
axonal neuropathy,4,0,0,12894,default_universe,,0,0,0,0
benign familial infantile seizures,9,71,20,12894,default_universe,,0,0,0,0
brain atrophy,2,9,9,12894,default_universe,,0,0,0,0
brain cancer,4,1,1,12894,default_universe,,0,0,0,0
brain lung thyroid syndrome,2,3,3,12894,default_universe,,0,0,0,0
brain malformation,6,6,6,12894,default_universe,,0,0,0,0
brain malformations,9,8,7,12894,default_universe,,0,0,0,0
brain neoplasm,13,20,20,12894,default_universe,,0,0,0,0
brain tumor,9,44,19,12894,default_universe,,0,0,0,0
brain tumor polyposis syndrome,1,3,3,12894,default_universe,,0,0,0,0
brainstem hypoplasia,1,0,0,12894,default_universe,,0,0,0,0
carcinoma adrenocortical androgen secreting,1,4,4,12894,default_universe,,0,0,0,0
cerebellar ataxia,11,18,18,12894,default_universe,,0,0,0,0
cerebellar ataxia syndrome,2,1,1,12894,default_universe,,0,0,0,0
cerebellar ataxia with cardiac conduction defects,1,0,0,12894,default_universe,,0,0,0,0
cerebral arteriovenous malformation,2,6,6,12894,default_universe,,0,0,0,0
cerebral atrophy,1,0,0,12894,default_universe,,0,0,0,0
cerebral autosomal dominant arteriopathy,2,0,0,12894,default_universe,,0,0,0,0
cerebral calcification,1,8,8,12894,default_universe,,0,0,0,0
cerebral cavernous malformation,14,20,6,12894,default_universe,,0,0,0,0
cerebral folate deficiency,1,0,0,12894,default_universe,,0,0,0,0
cerebral hypoplasia,1,0,0,12894,default_universe,,0,0,0,0
cerebral palsy,10,2,2,12894,default_universe,,0,0,0,0
cerebral small vessel disease,2,0,0,12894,default_universe,,0,0,0,0
cerebral visual impairment,2,7,7,12894,default_universe,,0,0,0,0
cerebral white matter disease,1,0,0,12894,default_universe,,0,0,0,0
cerebroretinal microangiopathy with calcifications and cysts,1,0,0,12894,default_universe,,0,0,0,0
childhood absence epilepsy,2,0,0,12894,default_universe,,0,0,0,0
cobblestone lissencephaly,2,7,4,12894,default_universe,,0,0,0,0
coenzyme q10 deficiency spinocerebellar ataxia,1,0,0,12894,default_universe,,0,0,0,0
cone rod dystrophy with hearing loss,1,1,1,12894,default_universe,,0,0,0,0
congenital brain malformation,1,3,3,12894,default_universe,,0,0,0,0
congenital malformation of the optic nerve,4,2,2,12894,default_universe,,0,0,0,0
congenital muscular dystrophy dystroglycanopathy type a with brain and eye anomalies,5,6,3,12894,default_universe,,0,0,0,0
congenital muscular dystrophy dystroglycanopathy with brain and eye anomalies,1,0,0,12894,default_universe,,0,0,0,0
congenital muscular dystrophy with dystroglycanopathy and brain anomalies,2,0,0,12894,default_universe,,0,0,0,0
congenital neuro ophthalmic anomaly,1,1,1,12894,default_universe,,0,0,0,0
congenital neurodevelopmental disorder with ichthyosis,2,0,0,12894,default_universe,,0,0,0,0
congenital neurodevelopmental encephalopathy,1,0,0,12894,default_universe,,0,0,0,0
congenital neurodevelopmental malformation syndrome,3,0,0,12894,default_universe,,0,0,0,0
congenital neuromuscular disease,6,1,1,12894,default_universe,,0,0,0,0
cortical malformation,1,2,2,12894,default_universe,,0,0,0,0
dementia,2,0,0,12894,default_universe,,0,0,0,0
developmental and epileptic encephalopathies,6,0,0,12894,default_universe,,0,0,0,0
developmental and epileptic encephalopathy,79,132,47,12894,default_universe,,0,1,3,4
