ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,ontology,group_label
GO:0032725,positive regulation of granulocyte macrophage colony-stimulating factor production,2/28,15/18860,0.133333333333333,89.8095238095238,13.2677482761061,0.000220526784456604,0.0575922979479235,0.0472182814511375,PAEP/CARD9,2,BP,aortic aneurysm and dissection
GO:0032604,granulocyte macrophage colony-stimulating factor production,2/28,17/18860,0.117647058823529,79.2436974789916,12.4448287582029,0.000285110385880809,0.0575922979479235,0.0472182814511375,PAEP/CARD9,2,BP,aortic aneurysm and dissection
GO:0001763,morphogenesis of a branching structure,3/28,214/18860,0.014018691588785,9.44259012016021,4.78938638309658,0.00382826407988716,0.216134066682977,0.177202152986564,FGF7/FEM1B/NRARP,3,BP,aortic aneurysm and dissection
GO:0033627,cell adhesion mediated by integrin,2/28,76/18860,0.0263157894736842,17.7255639097744,5.63356939852961,0.00566024851307594,0.216134066682977,0.177202152986564,FBN1/ITGA11,2,BP,aortic aneurysm and dissection
GO:0030514,negative regulation of BMP signaling pathway,2/28,77/18860,0.025974025974026,17.4953617810761,5.59261407778314,0.00580587743366319,0.216134066682977,0.177202152986564,FBN1/SKOR1,2,BP,aortic aneurysm and dissection
GO:0010721,negative regulation of cell development,3/28,288/18860,0.0104166666666667,7.01636904761905,3.96726762156638,0.00870475377826012,0.216134066682977,0.177202152986564,FBN1/PAEP/NRARP,3,BP,aortic aneurysm and dissection
GO:0006048,UDP-N-acetylglucosamine biosynthetic process,1/28,10/18860,0.1,67.3571428571429,8.09323450080548,0.0147509386878846,0.216134066682977,0.177202152986564,UAP1L1,1,BP,aortic aneurysm and dissection
GO:0048874,host-mediated modulation of intestinal microbiota composition,1/28,10/18860,0.1,67.3571428571429,8.09323450080548,0.0147509386878846,0.216134066682977,0.177202152986564,CARD9,1,BP,aortic aneurysm and dissection
GO:2000234,positive regulation of rRNA processing,1/28,10/18860,0.1,67.3571428571429,8.09323450080548,0.0147509386878846,0.216134066682977,0.177202152986564,WDR75,1,BP,aortic aneurysm and dissection
GO:0000338,protein deneddylation,1/28,11/18860,0.0909090909090909,61.2337662337662,7.70517182069687,0.016214438619807,0.216134066682977,0.177202152986564,COPS2,1,BP,aortic aneurysm and dissection
