group_label,sv_count,top_pairs,top_genes,bg_genes,go_background_mode,go_universe_gene_count,go_bp_terms,go_mf_terms,go_cc_terms,go_total
absence epilepsy,2,0,0,12894,default_universe,,0,0,0,0
acute infectious encephalopathy,3,8,8,12894,default_universe,,0,0,0,0
adrenal cortex cancer,12,70,44,12894,default_universe,,2,2,0,4
adrenocortical adenoma,2,48,48,12894,default_universe,,0,0,0,0
adrenocortical carcinoma hereditary,9,110,39,12894,default_universe,,2,3,0,5
adrenocortical carcinoma pediatric,2,50,25,12894,default_universe,,8,3,1,12
alzheimer disease,1,0,0,12894,default_universe,,0,0,0,0
amyotrophic lateral sclerosis,19,38,17,12894,default_universe,,0,0,0,0
aniridia cerebellar ataxia intellectual disability syndrome,4,9,6,12894,default_universe,,0,0,0,0
ataxia oculomotor apraxia,1,4,4,12894,default_universe,,0,0,0,0
ataxia telangiectasia,43,16,2,12894,default_universe,,0,0,0,0
ataxia telangiectasia like disorder type 1,2,8,8,12894,default_universe,,0,0,0,0
ataxia telangiectasia syndrome,2,8,8,12894,default_universe,,0,0,0,0
ataxia with oculomotor apraxia,1,4,4,12894,default_universe,,0,0,0,0
ataxia with vitamin e deficiency,1,0,0,12894,default_universe,,0,0,0,0
atp1a3 related neurological disorders,2,12,9,12894,default_universe,,0,0,0,0
autism spectrum disorder,32,51,37,12894,default_universe,,0,0,0,0
autonomic neuropathy,5,6,2,12894,default_universe,,0,0,0,0
autosomal dominant nonsyndromic hearing loss,1,1,1,12894,default_universe,,0,0,0,0
axonal neuropathy,4,4,1,12894,default_universe,,0,0,0,0
benign familial infantile seizures,9,46,20,12894,default_universe,,0,0,0,0
brain atrophy,2,25,25,12894,default_universe,,0,0,0,0
brain cancer,4,1,1,12894,default_universe,,0,0,0,0
brain lung thyroid syndrome,2,5,4,12894,default_universe,,0,0,0,0
brain malformation,6,19,17,12894,default_universe,,0,0,0,0
brain malformations,9,25,25,12894,default_universe,,0,0,3,3
brain neoplasm,13,61,36,12894,default_universe,,3,2,1,6
brain tumor,9,170,39,12894,default_universe,,2,3,0,5
brain tumor polyposis syndrome,1,0,0,12894,default_universe,,0,0,0,0
brainstem hypoplasia,1,1,1,12894,default_universe,,0,0,0,0
carcinoma adrenocortical androgen secreting,1,17,17,12894,default_universe,,0,0,0,0
cerebellar ataxia,11,47,47,12894,default_universe,,0,1,2,3
cerebellar ataxia syndrome,2,12,9,12894,default_universe,,0,0,0,0
cerebellar ataxia with cardiac conduction defects,1,11,11,12894,default_universe,,0,0,0,0
cerebral arteriovenous malformation,2,51,44,12894,default_universe,,1,0,0,1
cerebral atrophy,1,1,1,12894,default_universe,,0,0,0,0
cerebral autosomal dominant arteriopathy,2,0,0,12894,default_universe,,0,0,0,0
cerebral calcification,1,4,4,12894,default_universe,,0,0,0,0
cerebral cavernous malformation,14,33,6,12894,default_universe,,0,0,0,0
cerebral folate deficiency,1,0,0,12894,default_universe,,0,0,0,0
cerebral hypoplasia,1,0,0,12894,default_universe,,0,0,0,0
cerebral palsy,10,1,1,12894,default_universe,,0,0,0,0
cerebral small vessel disease,2,0,0,12894,default_universe,,0,0,0,0
cerebral visual impairment,2,16,16,12894,default_universe,,0,0,0,0
cerebral white matter disease,1,14,14,12894,default_universe,,0,0,0,0
cerebroretinal microangiopathy with calcifications and cysts,1,0,0,12894,default_universe,,0,0,0,0
childhood absence epilepsy,2,0,0,12894,default_universe,,0,0,0,0
cobblestone lissencephaly,2,1,1,12894,default_universe,,0,0,0,0
coenzyme q10 deficiency spinocerebellar ataxia,1,0,0,12894,default_universe,,0,0,0,0
cone rod dystrophy with hearing loss,1,0,0,12894,default_universe,,0,0,0,0
congenital brain malformation,1,6,6,12894,default_universe,,0,0,0,0
congenital malformation of the optic nerve,4,9,6,12894,default_universe,,0,0,0,0
congenital muscular dystrophy dystroglycanopathy type a with brain and eye anomalies,5,40,21,12894,default_universe,,0,1,2,3
congenital muscular dystrophy dystroglycanopathy with brain and eye anomalies,1,0,0,12894,default_universe,,0,0,0,0
congenital muscular dystrophy with dystroglycanopathy and brain anomalies,2,0,0,12894,default_universe,,0,0,0,0
congenital neuro ophthalmic anomaly,1,1,1,12894,default_universe,,0,0,0,0
congenital neurodevelopmental disorder with ichthyosis,2,0,0,12894,default_universe,,0,0,0,0
congenital neurodevelopmental encephalopathy,1,0,0,12894,default_universe,,0,0,0,0
congenital neurodevelopmental malformation syndrome,3,0,0,12894,default_universe,,0,0,0,0
congenital neuromuscular disease,6,13,11,12894,default_universe,,0,0,0,0
cortical malformation,1,4,4,12894,default_universe,,0,0,0,0
dementia,2,1,1,12894,default_universe,,0,0,0,0
developmental and epileptic encephalopathies,6,0,0,12894,default_universe,,0,0,0,0
developmental and epileptic encephalopathy,79,505,168,12894,default_universe,,2,0,0,2
distal hereditary motor neuronopathy type 2b,4,4,1,12894,default_universe,,0,0,0,0
dopa responsive dystonia,10,40,21,12894,default_universe,,20,3,3,26
drug induced neuromuscular disorder,1,10,10,12894,default_universe,,0,0,0,0
dystonia,23,264,163,12894,default_universe,,1,0,0,1
encephalocele,1,2,2,12894,default_universe,,0,0,0,0
encephalopathy,1,0,0,12894,default_universe,,0,0,0,0
endocrine gastrointestinal and neurological disorder,1,8,8,12894,default_universe,,0,0,0,0
epilepsy,81,198,131,12894,default_universe,,0,3,1,4
epilepsy and movement disorder syndrome,1,0,0,12894,default_universe,,0,0,0,0
epilepsy and movement disorders,6,43,18,12894,default_universe,,0,0,0,0
epilepsy syndrome,7,74,54,12894,default_universe,,0,0,0,0
epilepsy syndromes,3,0,0,12894,default_universe,,0,0,0,0
epileptic encephalopathy,52,131,116,12894,default_universe,,1,0,0,1
epileptic spasms,1,0,0,12894,default_universe,,0,0,0,0
episodic ataxia,14,132,34,12894,default_universe,,0,0,0,0
familial hemiplegic migraine,22,134,35,12894,default_universe,,0,0,0,0
febrile seizure,7,25,7,12894,default_universe,,0,0,0,0
febrile seizures,6,0,0,12894,default_universe,,0,0,0,0
focal cortical dysplasia,29,102,48,12894,default_universe,,0,1,0,1
focal epilepsy,9,1,1,12894,default_universe,,0,0,0,0
frontotemporal dementia,4,6,6,12894,default_universe,,0,0,0,0
generalized epilepsy,1,1,1,12894,default_universe,,0,0,0,0
genetic hearing loss,7,9,7,12894,default_universe,,0,0,0,0
genetic hearing loss and thyroid disorder,1,0,0,12894,default_universe,,0,0,0,0
genetic neurodevelopmental disorder,13,17,12,12894,default_universe,,0,0,0,0
genetic syndrome with intellectual disability,8,91,38,12894,default_universe,,0,0,1,1
glioma,69,145,51,12894,default_universe,,3,2,0,5
hearing impairment,35,87,58,12894,default_universe,,0,0,0,0
hearing loss,42,128,76,12894,default_universe,,0,0,0,0
hemimegalencephaly,1,0,0,12894,default_universe,,0,0,0,0
hereditary ataxia,4,3,3,12894,default_universe,,0,0,0,0
hereditary axonal neuropathy,1,0,0,12894,default_universe,,0,0,0,0
hereditary hearing loss,63,51,45,12894,default_universe,,0,0,0,0
hereditary motor and sensory neuropathy,2,15,15,12894,default_universe,,0,0,0,0
hereditary motor neuronopathy,1,0,0,12894,default_universe,,0,0,0,0
hereditary motor neuropathy,8,36,32,12894,default_universe,,0,0,0,0
hereditary neuropathy,14,30,18,12894,default_universe,,0,0,0,0
hereditary paraganglioma syndrome,4,6,4,12894,default_universe,,0,0,0,0
hereditary peripheral neuropathy,4,4,1,12894,default_universe,,0,0,0,0
hereditary pheochromocytoma and paraganglioma,25,15,12,12894,default_universe,,0,0,0,0
hereditary sensory and autonomic neuropathies,2,4,2,12894,default_universe,,0,0,0,0
hereditary sensory and autonomic neuropathy,1,1,1,12894,default_universe,,0,0,0,0
hereditary spastic paraplegia,68,116,73,12894,default_universe,,0,0,0,0
holoprosencephaly,4,18,18,12894,default_universe,,0,0,0,0
idiopathic generalized epilepsy,1,0,0,12894,default_universe,,0,0,0,0
infantile cortical hyperostosis,3,0,0,12894,default_universe,,0,0,0,0
inherited retinal disease,12,17,11,12894,default_universe,,0,0,0,0
inherited retinal dystrophy,5,13,11,12894,default_universe,,0,0,0,0
intellectual disability,174,514,435,12894,default_universe,,2,0,0,2
intellectual disability syndrome,6,4,4,12894,default_universe,,0,0,0,0
intellectual disability with seizures,2,0,0,12894,default_universe,,0,0,0,0
leukoencephalopathy,4,2,2,12894,default_universe,,0,0,0,0
leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation,1,1,1,12894,default_universe,,0,0,0,0
lewy body dementia,5,3,3,12894,default_universe,,0,0,0,0
lissencephaly,7,10,4,12894,default_universe,,0,0,0,0
lysosomal storage disease neurodegenerative disease,3,0,0,12894,default_universe,,0,0,0,0
macrocephaly autism syndrome,15,8,5,12894,default_universe,,0,0,0,0
malformation of cortical development,2,13,13,12894,default_universe,,0,0,0,0
malignant glioma,1,0,0,12894,default_universe,,0,0,0,0
medulloblastoma,60,59,32,12894,default_universe,,2,0,0,2
metabolic encephalopathy,2,0,0,12894,default_universe,,0,0,0,0
metabolic leukoencephalopathy,1,0,0,12894,default_universe,,0,0,0,0
metastatic pancreatic neuroendocrine tumours,6,142,66,12894,default_universe,,0,0,0,0
microcephaly,38,132,105,12894,default_universe,,0,0,0,0
microcephaly and immunodeficiency syndrome,9,13,3,12894,default_universe,,0,0,0,0
microcephaly capillary malformation syndrome,2,0,0,12894,default_universe,,0,0,0,0
microcephaly chorioretinopathy syndrome,1,0,0,12894,default_universe,,0,0,0,0
microcephaly syndrome,6,9,7,12894,default_universe,,0,0,0,0
microcephaly with or without chorioretinopathy lymphedema or intellectual disability syndrome,1,3,3,12894,default_universe,,0,0,0,0
microcornea myopic chorioretinal atrophy,1,0,0,12894,default_universe,,0,0,0,0
migraine,11,110,60,12894,default_universe,,0,0,0,0
mitochondrial encephalomyopathy,6,14,14,12894,default_universe,,0,0,0,0
mitochondrial encephalopathy,2,14,14,12894,default_universe,,0,0,0,0
mitochondrial hepatocerebral disease,1,2,2,12894,default_universe,,0,0,0,0
mononeuropathy of the median nerve,5,1,1,12894,default_universe,,0,0,0,0
motor neuron disease,7,54,38,12894,default_universe,,0,0,0,0
muscle eye brain disease,4,1,1,12894,default_universe,,0,0,0,0
myoclonic dystonia,7,0,0,12894,default_universe,,0,0,0,0
myopia high with cataract and vitreoretinal degeneration,2,2,2,12894,default_universe,,0,0,0,0
neuro ophthalmic disorder,1,1,1,12894,default_universe,,0,0,0,0
neuro ophthalmologic and metabolic disorder,1,8,8,12894,default_universe,,0,0,0,0
neuro ophthalmologic disorder,3,2,2,12894,default_universe,,0,0,0,0
neuro ophthalmological syndrome,1,1,1,12894,default_universe,,0,0,0,0
neuroacanthocytosis,4,0,0,12894,default_universe,,0,0,0,0
neuroblastoma,9,47,46,12894,default_universe,,0,1,0,1
neurocutaneous neoplasia,4,0,0,12894,default_universe,,0,0,0,0
neurocutaneous syndrome,3,0,0,12894,default_universe,,0,0,0,0
neurodegeneration with brain iron accumulation,2,8,8,12894,default_universe,,0,0,0,0
neurodegeneration with brain iron accumulation type 1,2,0,0,12894,default_universe,,0,0,0,0
neurodegenerative disease,14,35,35,12894,default_universe,,0,0,0,0
neurodegenerative disease with lipodystrophy,1,0,0,12894,default_universe,,0,0,0,0
neurodegenerative disorder,22,20,20,12894,default_universe,,0,0,0,0
neurodevelopmental disorder with cerebellar ataxia,3,0,0,12894,default_universe,,0,0,0,0
neurodevelopmental disorder with cerebellar atrophy,1,38,38,12894,default_universe,,2,0,0,2
neurodevelopmental disorder with microcephaly and seizures,1,4,4,12894,default_universe,,0,0,0,0
neurodevelopmental disorder with pancytopenia,1,0,0,12894,default_universe,,0,0,0,0
neurodevelopmental disorder with spasticity and epilepsy,1,0,0,12894,default_universe,,0,0,0,0
neurodevelopmental disorder with structural brain anomalies,1,3,3,12894,default_universe,,0,0,0,0
neurodevelopmental movement disorder,2,3,2,12894,default_universe,,0,0,0,0
neurodevelopmental syndrome,14,9,7,12894,default_universe,,0,0,0,0
neuroendocrine neoplasm,3,12,7,12894,default_universe,,0,0,0,0
neuroendocrine syndrome,1,0,0,12894,default_universe,,0,0,0,0
neuroendocrine tumor,8,4,2,12894,default_universe,,0,0,0,0
neurofibroma,4,0,0,12894,default_universe,,0,0,0,0
neurofibromatosis,41,4,4,12894,default_universe,,0,0,0,0
neurofibromatosis noonan syndrome,43,4,4,12894,default_universe,,0,0,0,0
neurofibromatosis type 1,44,7,6,12894,default_universe,,0,0,0,0
neuromuscular disease,5,25,19,12894,default_universe,,0,0,0,0
neuromuscular disorder,8,33,33,12894,default_universe,,3,0,0,3
neuronal ceroid lipofuscinosis,37,57,16,12894,default_universe,,0,0,0,0
neuronal migration disorder,2,0,0,12894,default_universe,,0,0,0,0
neuropathic arthropathy,1,2,2,12894,default_universe,,0,0,0,0
neuropathic pain,1,1,1,12894,default_universe,,0,0,0,0
nonsyndromic hearing loss,21,24,18,12894,default_universe,,0,0,0,0
opa1 related optic atrophy,1,4,4,12894,default_universe,,0,0,0,0
optic atrophy,11,30,27,12894,default_universe,,0,9,0,9
optic atrophy syndrome,1,0,0,12894,default_universe,,0,0,0,0
optic nerve aplasia,1,4,4,12894,default_universe,,0,0,0,0
optic nerve coloboma,3,9,6,12894,default_universe,,0,0,0,0
optic nerve hypoplasia,1,4,4,12894,default_universe,,0,0,0,0
osteoporosis pseudoglioma syndrome,4,0,0,12894,default_universe,,0,0,0,0
paraganglioma,24,20,11,12894,default_universe,,0,0,0,0
parkinson disease,27,29,23,12894,default_universe,,0,0,0,0
parkinson s disease,7,3,3,12894,default_universe,,0,0,0,0
parkinsonism,6,4,4,12894,default_universe,,0,0,0,0
peripheral axonal neuropathy,5,6,6,12894,default_universe,,0,0,0,0
peripheral neuropathy,25,191,60,12894,default_universe,,0,0,0,0
pigmented nodular adrenocortical disease primary,2,0,0,12894,default_universe,,0,0,0,0
plexiform neurofibroma,5,0,0,12894,default_universe,,0,0,0,0
polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy,1,1,1,12894,default_universe,,0,0,0,0
polyneuropathy,5,21,21,12894,default_universe,,0,0,0,0
primary microcephaly,8,17,14,12894,default_universe,,0,0,0,0
progressive myoclonic epilepsy,5,0,0,12894,default_universe,,0,0,0,0
pyridoxine dependent epilepsy,1,4,4,12894,default_universe,,0,0,0,0
renal cortical cysts,1,13,13,12894,default_universe,,0,0,0,0
renal retinal syndrome,2,6,6,12894,default_universe,,0,0,0,0
retinal degeneration,10,11,9,12894,default_universe,,0,0,0,0
retinal disease,10,7,5,12894,default_universe,,0,0,0,0
retinal diseases,4,6,4,12894,default_universe,,0,0,0,0
retinal disorder,2,3,3,12894,default_universe,,0,0,0,0
retinal dystrophy,209,462,218,12894,default_universe,,2,0,0,2
retinal macular dystrophy,6,6,3,12894,default_universe,,0,0,0,0
retinal pigment epithelial atrophy,3,2,2,12894,default_universe,,0,0,0,0
schizophrenia,3,46,42,12894,default_universe,,0,0,2,2
scn1a related neurological disorder,2,1,1,12894,default_universe,,0,0,0,0
scn2a related neurodevelopmental disorder,1,0,0,12894,default_universe,,0,0,0,0
seizure disorder,71,237,196,12894,default_universe,,2,2,0,4
seizure disorders,3,11,11,12894,default_universe,,0,0,0,0
seizures scoliosis macrocephaly syndrome,5,4,2,12894,default_universe,,0,0,0,0
sensorineural hearing loss,13,41,39,12894,default_universe,,0,1,0,1
sensory ataxic neuropathy,3,31,22,12894,default_universe,,1,0,0,1
short stature optic atrophy pelger hu t anomaly syndrome,2,0,0,12894,default_universe,,0,0,0,0
spastic ataxia,11,42,41,12894,default_universe,,6,0,0,6
spastic cerebral palsy,4,0,0,12894,default_universe,,0,0,0,0
spastic paraplegia,39,16,12,12894,default_universe,,0,0,0,0
spinal muscular atrophy and progressive myoclonic epilepsy,1,0,0,12894,default_universe,,0,0,0,0
spinocerebellar ataxia,30,174,60,12894,default_universe,,0,1,2,3
spinocerebellar ataxia with neuropathy,1,0,0,12894,default_universe,,0,0,0,0
syndromic intellectual disability,5,0,0,12894,default_universe,,0,0,0,0
syndromic retinal dystrophy,1,0,0,12894,default_universe,,0,0,0,0
temporal lobe epilepsy,3,5,5,12894,default_universe,,0,0,0,0
thiamine pyrophosphokinase deficiency encephalopathy,3,0,0,12894,default_universe,,0,0,0,0
torsion dystonia,1,1,1,12894,default_universe,,0,0,0,0
