ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,ontology,group_label
GO:0140694,membraneless organelle assembly,4/40,446/18860,0.00896860986547085,4.22869955156951,3.181269851262,0.0144051289662305,0.24073421817363,0.201445415715469,CNTROB/AURKB/RANGRF/MYH10,4,BP,adrenal cortex cancer
GO:0034644,cellular response to UV,2/40,92/18860,0.0217391304347826,10.25,4.10021061271455,0.01627893146232,0.24073421817363,0.201445415715469,AURKB/RPL26,2,BP,adrenal cortex cancer
GO:0006814,sodium ion transport,3/40,255/18860,0.0117647058823529,5.54705882352941,3.37027502379621,0.0167007707703392,0.24073421817363,0.201445415715469,ATP1B2/PER1/RANGRF,3,BP,adrenal cortex cancer
GO:2001251,negative regulation of chromosome organization,2/40,97/18860,0.0206185567010309,9.72164948453608,3.97020446088103,0.0179868863235801,0.24073421817363,0.201445415715469,AURKB/CTC1,2,BP,adrenal cortex cancer
GO:0006930,"substrate-dependent cell migration, cell extension",1/40,10/18860,0.1,47.15,6.72969752085454,0.0210125966531343,0.24073421817363,0.201445415715469,MYH10,1,BP,adrenal cortex cancer
GO:1902423,regulation of attachment of mitotic spindle microtubules to kinetochore,1/40,10/18860,0.1,47.15,6.72969752085454,0.0210125966531343,0.24073421817363,0.201445415715469,AURKB,1,BP,adrenal cortex cancer
GO:0010389,regulation of G2/M transition of mitotic cell cycle,2/40,109/18860,0.018348623853211,8.65137614678899,3.69334690148953,0.0223795105228602,0.24073421817363,0.201445415715469,AURKB/CTC1,2,BP,adrenal cortex cancer
GO:0045136,development of secondary sexual characteristics,1/40,11/18860,0.0909090909090909,42.8636363636364,6.40278105295004,0.0230900235037371,0.24073421817363,0.201445415715469,LHCGR,1,BP,adrenal cortex cancer
GO:0051036,regulation of endosome size,1/40,11/18860,0.0909090909090909,42.8636363636364,6.40278105295004,0.0230900235037371,0.24073421817363,0.201445415715469,BORCS6,1,BP,adrenal cortex cancer
GO:0051987,positive regulation of attachment of spindle microtubules to kinetochore,1/40,11/18860,0.0909090909090909,42.8636363636364,6.40278105295004,0.0230900235037371,0.24073421817363,0.201445415715469,AURKB,1,BP,adrenal cortex cancer
GO:0060732,positive regulation of inositol phosphate biosynthetic process,1/40,11/18860,0.0909090909090909,42.8636363636364,6.40278105295004,0.0230900235037371,0.24073421817363,0.201445415715469,LHCGR,1,BP,adrenal cortex cancer
