ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,ontology,group_label
GO:0009416,response to light stimulus,5/27,341/18860,0.0146627565982405,10.2422070164006,6.52117079428136,0.000109190195062456,0.0809099345412796,0.0656290540849076,PER1/AURKB/RPL26/CRTC1/RHO,5,BP,acute myeloid leukemia
GO:0043153,entrainment of circadian clock by photoperiod,2/27,24/18860,0.0833333333333333,58.2098765432099,10.6185141393161,0.000534249577098078,0.096629868536728,0.078380076616907,PER1/CRTC1,2,BP,acute myeloid leukemia
GO:0071482,cellular response to light stimulus,3/27,124/18860,0.0241935483870968,16.8996415770609,6.72575738326687,0.000722999667448148,0.096629868536728,0.078380076616907,AURKB/RPL26/RHO,3,BP,acute myeloid leukemia
GO:0002181,cytoplasmic translation,3/27,208/18860,0.0144230769230769,10.0747863247863,4.98295346220579,0.00318159277498034,0.181593086707008,0.14729689965154,RPL26/UBA52/CNBP,3,BP,acute myeloid leukemia
GO:0002028,regulation of sodium ion transport,2/27,76/18860,0.0263157894736842,18.3820662768031,5.7490437949748,0.00526963037048665,0.181593086707008,0.14729689965154,PER1/RANGRF,2,BP,acute myeloid leukemia
GO:0051591,response to cAMP,2/27,90/18860,0.0222222222222222,15.522633744856,5.22896773802999,0.00731464310741254,0.181593086707008,0.14729689965154,PER1/CRTC1,2,BP,acute myeloid leukemia
GO:0097009,energy homeostasis,2/27,90/18860,0.0222222222222222,15.522633744856,5.22896773802999,0.00731464310741254,0.181593086707008,0.14729689965154,GDF15/CRTC1,2,BP,acute myeloid leukemia
GO:0072659,protein localization to plasma membrane,3/27,295/18860,0.0101694915254237,7.10357815442561,4.00064025245498,0.00839294207732343,0.181593086707008,0.14729689965154,TMEM88/VAMP2/RANGRF,3,BP,acute myeloid leukemia
GO:0001657,ureteric bud development,2/27,98/18860,0.0204081632653061,14.2554799697657,4.98138821492408,0.00861999150238735,0.181593086707008,0.14729689965154,CRLF1/TMEM59L,2,BP,acute myeloid leukemia
GO:0048511,rhythmic process,3/27,302/18860,0.00993377483443709,6.93892568064754,3.93937419746997,0.00894725732644579,0.181593086707008,0.14729689965154,HES7/PER1/CRTC1,3,BP,acute myeloid leukemia
GO:0050000,chromosome localization,2/27,124/18860,0.0161290322580645,11.2664277180406,4.34283387394141,0.0135185713930505,0.181593086707008,0.14729689965154,AURKB/NDEL1,2,BP,acute myeloid leukemia
GO:0032793,positive regulation of CREB transcription factor activity,1/27,10/18860,0.1,69.8518518518519,8.2459634880489,0.014227510402642,0.181593086707008,0.14729689965154,CRTC1,1,BP,acute myeloid leukemia
GO:0060052,neurofilament cytoskeleton organization,1/27,10/18860,0.1,69.8518518518519,8.2459634880489,0.014227510402642,0.181593086707008,0.14729689965154,NDEL1,1,BP,acute myeloid leukemia
GO:1902423,regulation of attachment of mitotic spindle microtubules to kinetochore,1/27,10/18860,0.1,69.8518518518519,8.2459634880489,0.014227510402642,0.181593086707008,0.14729689965154,AURKB,1,BP,acute myeloid leukemia
GO:0046683,response to organophosphorus,2/27,129/18860,0.0155038759689922,10.8297444731553,4.24168155559625,0.0145713941217372,0.181593086707008,0.14729689965154,PER1/CRTC1,2,BP,acute myeloid leukemia
GO:0051256,mitotic spindle midzone assembly,1/27,11/18860,0.0909090909090909,63.5016835016835,7.85100691449679,0.0156394922179802,0.181593086707008,0.14729689965154,AURKB,1,BP,acute myeloid leukemia
